No,Name,Type,3 Year Funds Offered,3 Year Funds Sold,Est. Most Recent Fund Date,Investor Location,Investor City,Investor State,Investor Country,Portfolio Size,Number of Deals,Website,Average Growth Score
260,Point Judith Capital,VC,$100.0M,$59.0M,8/17/2016,Boston,Boston,MA,USA,0,0,pointjudithcapital.com,0
261,Learn Capital,VC,$100.0M,$73.0M,6/11/2015,Bay Area,San Mateo,CA,USA,0,0,learncapital.com,0
262,Steamboat Ventures,VC,$100.0M,$40.6M,4/1/2016,Los Angeles,Burbank,CA,USA,0,0,steamboatvc.com,0
263,Arrowroot Capital,VC,$100.0M,$0.00,12/8/2015,Santa Monica,Santa Monica,CA,USA,0,0,arrowrootcapital.com,0
264,Israel Biotech Fund,VC,$100.0M,$0.00,10/22/2015,,Rehovot ,,IL,0,0,israelbiotechfund.com,0
265,Alsop Louie Partners,VC,$100.0M,$54.4M,8/21/2014,Bay Area,San Francisco,CA,USA,0,0,alsop-louie.com,0
266,Native American Venture Fund,VC,$100.0M,$0.00,7/30/2015,New York,New York,NY,USA,0,0,nativeamericanventurefund.com,0
267,Health Catalyst Capital,VC,$100.0M,$27.8M,12/23/2016,New York,New York,NY,USA,0,0,healthcatalystcapital.com,0
268,Asset Management Ventures (AMV),VC,$100.0M,$25.2M,3/31/2016,Bay Area,Palo Alto,CA,USA,0,0,assetman.com,0
269,Origin Ventures,VC,$100.0M,$0.00,1/22/2016,Chicago,Northbrook,IL,USA,0,0,originventures.com,0
270,Resolute.vc,VC,$98.2M,$8.2M,4/7/2016,Boston,Boston,MA,USA,0,0,resolute.vc,0
271,Contour Venture Partners,VC,$95.0M,$15.0M,2/17/2015,New York,New York,NY,USA,0,0,contourventures.com,0
272,NextView Ventures,VC,$89.8M,$39.8M,12/14/2016,Boston,Boston,MA,USA,0,0,nextviewventures.com,0
273,Brooklyn Bridge Ventures,VC,$88.5M,$78.8M,9/13/2016,Brooklyn,Brooklyn,NY,USA,0,0,brooklynbridge.vc,0
274,Monk's Hill Ventures,VC,$88.0M,$0.00,1/7/2015,Singapore,Singapore,,SGP,0,0,monkshill.com,0
275,Shea Ventures,VC,$87.1M,$86.3M,7/21/2015,Bay Area,San Francisco,CA,USA,0,0,sheaventures.com,0
276,Arena Ventures,VC,$86.8M,$78.9M,6/10/2016,,West Hollywood,CA,USA,0,0,arenavc.com,0
277,Homebrew Ventures,VC,$85.0M,$0.00,2/20/2015,Bay Area,San Francisco,CA,USA,0,0,homebrew.co,0
278,Collaborative Fund,VC,$85.0M,$65.0M,9/28/2016,New York,New York,NY,USA,89,120,collaborativefund.com,419
279,Tyche Partners,VC,$81.0M,$1.0M,9/2/2015,San Jose,San Jose,CA,USA,0,0,tyche-group.com,0
280,LiveOak Venture Partners,VC,$80.3M,$80.3M,5/20/2014,Austin,Austin,TX,USA,0,0,liveoakvp.com,0
281,Plymouth Ventures,VC,$80.0M,$31.6M,1/10/2014,Detroit,Ann Arbor,MI,USA,0,0,plymouthvc.com,0
282,Graphene Ventures,VC,$77.0M,$77.0M,3/7/2016,Bay Area,Palo Alto,CA,USA,0,0,graphene.vc,0
283,Floodgate Fund,VC,$76.5M,$0.00,12/9/2014,Bay Area,Palo Alto,CA,USA,168,326,floodgate.com,275
284,Cross Creek Advisors,VC,$75.0M,$0.00,6/10/2014,Salt Lake City,Salt Lake City,UT,USA,0,0,crosscreekadvisors.com,0
285,Amiti Ventures,VC,$75.0M,$35.2M,1/8/2016,Chicago,Chicago,IL,USA,0,0,amiticapital.com,0
286,MHS Capital,VC,$75.0M,$74.7M,4/11/2014,Bay Area,San Francisco,CA,USA,0,0,mhscapital.com,0
287,Data Point Capital,VC,$75.0M,$0.00,5/26/2015,Boston,Boston,MA,USA,0,0,datapointcapital.com,0
288,EchoVC Partners,VC,$75.0M,$16.2M,10/24/2014,,Lagos,,NGR,0,0,echovc.com,0
289,Mosaik Partners,VC,$75.0M,$13.6M,10/21/2016,Bay Area,San Francisco,CA,USA,0,0,mosaikpartners.com,0
290,MENA Venture Investments,VC,$75.0M,$55.7M,2/12/2015,,Amman,,Jordan,0,0,mvi.vc,0
291,Zodius Capital,VC,$75.0M,$45.3M,1/20/2016,,Mumbai ,,IND,0,0,zodius.com,0
292,Globespan Capital Partners,VC,$75.0M,$0.00,5/22/2015,Bay Area,Palo Alto,CA,USA,78,144,globespancapital.com,339
293,Upside Partnership,VC,$73.2M,$30.7M,3/17/2016,Bay Area,San Francisco,CA,USA,0,0,upsidevc.com,0
294,Streamlined Ventures,VC,$72.6M,$32.6M,1/3/2017,Bay Area,San Francisco,CA,USA,0,0,streamlinedventures.com,0
295,Fuel Capital,VC,$71.7M,$71.7M,4/11/2016,Bay Area,San Francisco,CA,USA,0,0,fuelcapital.com,0
296,Point Nine Capital,VC,$71.0M,$71.0M,7/6/2016,Berlin,Berlin,,DEU,87,120,pointninecap.com,282
